No,Country,Capital,Other
1,USA,Wash DC,New York City
2,Mexico,Mexico City,Guadalajara
3,Canada,Quebec,Vancouver
4,Spain,Madrid,Barcelona
5,Germany,Berlin,Munich
6,France,Paris,Lyon
7,UK,London,Oxford
8,Ireland,Dublin,Kent
9,Norway,Oslo,Bergen
10,Sweden,Stockohlm,Malmoe
11,Finland,Helsinki,Tampere
12,Russia,Moscow,St. Petersburg
13,Austria,Vienna,Salzburg
14,Switzerland,Bern,Zurich
15,Italy,Rome,Naples
16,CzechRepublic,Prague,Ostrava
17,Poland,Warsaw,Krakaow
18,Bulgaria,sofia,Plodiv
19,中国/ China,北京/Beijing,上海/Shanghai
20,Fiji,Suva,Lami
21,Japan,Tokyo,Osaka
22,Malaysia,Putrajaya,Kuala Lumpur
23,Singapore,Singapore,Bukit Panjang
24,S.Korea,seoul,Busan
